,Inscricao,Safra,Nacional,Regional,Estadual,Municipal,Id_Produtor,Id_Consultor,Id_Propriedade,Tamanho_Propriedade,Total_Area_Cultivada_Soja_Propriedade,Area_Agricultavel_Propriedade,Area_Cultivada_Soja_Propriedade,Latitude,Longitude,Altitude,Produtividade_Media_Retrasada_kg_ha,Produtividade_Media_Passada_kg_ha,Produtividade_Media_Atual_kg_ha,Populacao_Plantas_Calculada_ha,Media_Vagens_Planta,Graos_por_Vagem_01,Graos_por_Vagem_02,Graos_por_Vagem_03,Graos_por_Vagem_04,Stand_Plantas_Medicao_01,Stand_Plantas_Medicao_02,Stand_Plantas_Medicao_03,Media_Stand_Plantas,Altura_Plantas_Medicao_01,Altura_Plantas_Medicao_02,Altura_Plantas_Medicao_03,Media_Altura_Plantas,Insercao_Primeira_Vagem_Medicao_01,Insercao_Primeira_Vagem_Medicao_02,Insercao_Primeira_Vagem_Medicao_03,Media_Insercao_Primeira_Vagem,peso_fator_01,peso_fator_02,peso_fator_03,Distancia_Lavoura_Armazem_km,Peso_Bruto_kg,Tara_Caminhao_kg,Umidade_kg,Impureza_kg,Quebrados_kg,Esverdeados_kg,Avariados_Total_kg,Peso_Mil_Graos_Afericao_01_kg,Peso_Mil_Graos_Afericao_02_kg,Peso_Mil_Graos_Afericao_03_kg,Peso_Mil_Graos_Afericao_Media_kg,Medicao_Area_Auditada_01_ha,Medicao_Area_Auditada_02_ha,Medicao_Area_Auditada_03_ha,Media_Medicao_Area_Auditada_ha,Materia_Seca_kg_ha,Perda_Colheita_sc_ha,Area_Media_Auditada,PLSD,PLCDI,PLCDIU,Produtividade_Final_kg_ha,Produtividade_Final_sc_ha,Custo_Mao_de_Obra,Custo_Mecanizacao,Custo_Adubacao_Corretivos,Custo_Defensivos,Custo_Beneficiamentos,Custo_Semente,Custo_Total_ha,Custo_Total_sc,Produtividade_Final_sc_ha.1
Inscricao,1.0,0.9461792650394355,0.37977254329921195,0.3328361595160913,0.30904128642338574,,0.1002762928908946,0.06751795456634276,0.298588415515607,0.023693407053736466,0.0050096081316252745,0.012810403463788825,0.0050096081316252745,-0.11285664395900986,-0.1272484428581751,-0.0012647037177725712,-0.2297709849780648,-0.2707813062771236,-0.29274361445268937,-0.10807295298364696,-0.06819638195128833,-0.025868036402542597,-0.02586432258790289,-0.025856236186544933,0.22068667952013235,-0.08329998360507763,-0.07447263590727914,-0.015373926131803222,-0.04553809787644423,-0.0037844558706308998,0.03032903374174216,0.01215187775580928,0.007765130352684445,-0.05196952249266934,-0.04509515385806453,-0.06025516126308243,-0.05385302357552214,0.7133398162534021,0.7108776984845153,0.7042496294488713,0.013103011337401113,0.6431225069153014,0.594545503263824,0.6650359143384462,0.5051242274007286,-0.059649518706488505,-0.013663434724363809,-0.039848143898557044,0.46468933467078355,0.4563086391567693,0.46718073359094303,0.4706458471116834,-0.020538610568127263,-0.02090201365173571,-0.02046496639482323,-0.020642784457787968,0.08362849744193789,0.1573964983411224,-0.008169562111792966,0.7305942430091613,0.7305812276372018,0.7304727741468859,0.21491937330750133,0.21127428411553942,0.03345448451979185,-0.00859173405954693,0.041720606851837636,-0.012878206403727412,0.005634167541002152,0.012466279594128613,0.024201709539453314,0.01956515329073878,0.21460877874187426
Safra,0.9461792650394355,1.0,0.4902030683093262,0.42906235973932577,0.40037080600848696,,0.07835881555915622,0.043599361377540544,0.2683913227712098,0.024832570911134284,0.006922653676044267,0.009164071899157508,0.006922653676044267,-0.1445794888864227,-0.16513239417446424,-0.003076564192688626,-0.2471559793731413,-0.28419024438368706,-0.309122537953603,-0.11052966173766976,-0.050925714144390025,-0.019657065371238076,-0.01965093343356735,-0.019640506320251612,0.2969821829810255,-0.06783951961358914,-0.062156971967172875,-0.012557000008069693,-0.037399939870696515,-0.006230175488582548,0.036749385770371346,0.009139567517070742,0.00445557525252598,-0.07326191299672555,-0.064348478249009,-0.08128332015129777,-0.07623499756294427,0.7190381488313815,0.7168566928871151,0.7118707367228794,0.01908736341347051,0.7765935413072251,0.7180694999327664,0.8002794838915841,0.606538553677987,-0.07331728553980923,-0.023410736452064415,-0.04898352036847437,0.4831091477224263,0.4731756900927104,0.4866227078709793,0.4896571428866073,-0.02738126807415328,-0.027721424880770913,-0.027288928708605026,-0.02747351108737565,-0.03951642435417943,0.2027588164306077,-0.011632074149502456,0.7363236998300985,0.7363110571816617,0.7362125246190376,0.2536305513500241,0.2512411599100343,0.012769997782429298,-0.018293371667494458,0.04395890441762332,-0.008060919270290214,0.006481027376854342,0.01522155361376194,0.015761305663197216,0.009268274825494895,0.25430044163305593
Nacional,0.37977254329921195,0.4902030683093262,1.0,0.858999593778313,0.7462752000058236,,-0.0873478460533677,-0.10289266435330242,-0.050340646821768566,0.012096848713632398,0.030665578714768993,0.004720389328277846,0.030665578714768993,-0.13489217317233812,-0.17615528264367836,-0.02321662105583536,-0.17988487664767075,-0.19915522941459685,-0.23220147812556377,-0.04782903315837331,-0.011621081481775344,-0.004417023884943592,-0.004408893631894634,-0.004402157935781636,0.24853294082771824,-0.015169490637595312,-0.017597723157817692,-0.00853919984703431,-0.01355823322952056,-0.0032269640830916973,0.0027041959128949237,-0.003806830129735356,-0.004264214829752847,-0.04466761937261398,-0.04642543513051718,-0.04702127809580962,-0.04891956580463007,0.20893532173373652,0.21557562193235338,0.21346755737759354,0.03356935853017863,0.45238901473179083,0.4350605946328922,0.4625075858449192,0.35092802241720505,-0.012894102581364381,-0.006404955103138939,0.010653113446539289,0.17487448054692656,0.17414774518663428,0.17813241982242004,0.18084184627644923,-0.006864459921039019,-0.007113781471973154,-0.006046551927790147,-0.006682631864082225,-0.2085182370838035,0.2524079143101777,0.0059728270791928086,0.2069915809164192,0.20698822354822596,0.20694983012986445,0.04027562691446909,0.03908051591050083,-0.04682332341789487,-0.01863585060381158,-0.011369199005665956,-0.011837926476808468,-0.006812952792601493,-0.004511465300191208,-0.03394531637036442,-0.0332750557450313,0.03970558770811071
Regional,0.3328361595160913,0.42906235973932577,0.858999593778313,1.0,0.8889865976244598,,-0.07404080436440603,-0.09620522274458748,-0.04256222844736942,-0.022052023182826647,-0.015863655400174696,-0.03012380826475369,-0.015863655400174696,-0.1481234047641849,-0.16478022675181248,-0.006303876305983739,-0.19312295045896294,-0.21712925723405532,-0.21938664157335178,-0.041841917595694084,-0.00992642363632794,-0.003772752719339342,-0.0037659971291901266,-0.0037575789522952584,0.1859153018629518,-0.0058725066952808195,-0.008322791112803067,-0.004385100944992108,-0.006212165901603859,-0.0031812230396389475,0.006989343142326268,-0.002991794077351031,-0.0034512628647919235,-0.048273553858193374,-0.04894663359635059,-0.05104834505055943,-0.0526488198785715,0.1959014166789636,0.19657576119164946,0.19629404479348112,0.04551763166514484,0.38068588995427177,0.3538838422660972,0.3971069607201013,0.28522128965568305,-0.014191947219060154,-0.004151171979449786,0.00964063478164458,0.1666273239963179,0.16611375406786996,0.1686166047016401,0.17194971026256375,-0.008976871158945996,-0.009411374908902865,-0.008636967899139366,-0.00901445997192208,-0.18020573710419996,0.2667510868632169,5.454560315525524e-06,0.18003269888398263,0.18003119544800675,0.1800068936844802,0.05448740503524162,0.053733108294562765,-0.03761456147239376,-0.01033518574816816,0.007855713498245381,-0.004653273291866808,0.004254845477424224,0.003161992832429177,-0.01729047153411883,-0.018162837055042517,0.05434028723561415
Estadual,0.30904128642338574,0.40037080600848696,0.7462752000058236,0.8889865976244598,1.0,,-0.07740053008536554,-0.09787703502815576,-0.04037275266283917,-0.020590715971201504,-0.02044274861403289,-0.02764822587745413,-0.02044274861403289,-0.13037830922256224,-0.15456593393597642,0.00169440661580976,-0.20050037275466495,-0.21879651278947734,-0.20907616848446897,-0.038867471211423,-0.009187445102296944,-0.0034918674383534855,-0.0034851917568031396,-0.0034768813565199154,0.18917822636033213,0.0003625810271533785,-0.00439404654203235,-0.003252459788436808,-0.0030928433508932308,-0.003855096091348784,-0.005135199289968699,-0.003845709623895395,-0.005469037318523446,-0.04658462959164939,-0.05173908305847882,-0.053470438023253186,-0.05398458320502559,0.20118964642613776,0.2004579185312964,0.2001925224708642,0.04500839143981764,0.3608030097420318,0.3302129931533096,0.37486490301367015,0.25444790708277654,-0.00823719795832401,-0.002299879948050898,0.021663748058981566,0.15885410424694982,0.15781433661333194,0.1593329533509494,0.1632181718624847,-0.007499570253194204,-0.007982962924686652,-0.007166411965133642,-0.0075553496961584385,-0.16758127837537104,0.24213566017631338,-0.0026035287124611763,0.17842848880388595,0.17842837446366783,0.17841156938762331,0.07720414944530384,0.07686084983868667,-0.03539288208873369,-0.011233832076631532,0.010479016366018827,-0.006231459372215676,-0.0004342731944974264,-0.0015684836477228197,-0.018478943403624805,-0.02021474279330581,0.07752050928347003
Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id_Produtor,0.1002762928908946,0.07835881555915622,-0.0873478460533677,-0.07404080436440603,-0.07740053008536554,,1.0,0.9378490732198007,0.9192637237403969,-0.045007218443250535,-0.07298922246166127,-0.056786671939281774,-0.07298922246166127,0.02785855316316974,0.03126685633818174,-0.019977060470702062,-0.05387292394907635,-0.03388684874661943,-0.1377629532751554,-0.0933783348035302,-0.010021755414440954,-0.004335263998675158,-0.004337866342989253,-0.004341808488957346,-0.09540664166567454,-0.03852380199166452,-0.03234050016369039,0.025580919795845838,0.00330898281929259,-0.0019074120072972267,0.07194017720855532,0.03148491792399058,0.022635245525383003,0.05759074050041434,0.0546079803548364,0.043536070193161976,0.05564551264439619,0.09220137562473077,0.08368506605893748,0.07984975686478071,0.042228712736369176,-0.2566556570317269,-0.24410246379605727,-0.2654310769467535,-0.19402960396666513,-0.03794839629316366,-0.003318356606582954,-0.028907306580870252,0.14371808386664153,0.14563866097640524,0.1459621260867157,0.14838662214552856,-0.0007775222217175843,-0.0010338668164285585,-0.00041302827094509385,-0.0007447441206837333,0.07616246110648882,-0.04285421834382647,-0.014970225389157649,0.12004563438444237,0.1200410549439541,0.12004266633939802,-0.010814871306996699,-0.012706366705940204,0.15740060913343565,0.009740839625501289,0.0353404419118595,-0.010616589629867865,0.008480109328982672,-0.00958922004265873,0.07928407735760765,0.07470946839219515,-0.011759574266203488
Id_Consultor,0.06751795456634276,0.043599361377540544,-0.10289266435330242,-0.09620522274458748,-0.09787703502815576,,0.9378490732198007,1.0,0.912875667261565,-0.009911275804991248,-0.039857435728680876,-0.023345089654887533,-0.039857435728680876,0.0314720328645316,0.035314816651517804,-0.018313031628581927,-0.03505938801557622,-0.017177781271465926,-0.11391813189143418,-0.08841481071060694,-0.0068802471216363745,-0.004147811758387253,-0.004150530082365114,-0.004154799281173062,-0.09837600459952167,-0.041825924479731824,-0.033481039330796394,0.0250673714689285,0.0018320312288431805,0.00957715105523696,0.06852596483234664,0.032532169972266066,0.032039812010721,0.06793173741537471,0.06524348186325625,0.052500474203310304,0.06644732103729133,0.05756111023206402,0.04758058537679114,0.045233528152811724,0.031983347804633744,-0.27801328210408466,-0.26427000291502356,-0.28722388811567684,-0.21068785555782152,-0.03858208804900219,-0.0024689249004899946,-0.026378280958417624,0.12914142538510995,0.12826903559683556,0.12856718021931876,0.13228799326996812,-0.0018751918874700762,-0.00265076724809916,-0.0019393193789816689,-0.0021578590169469745,0.08101549877988075,-0.05175181731509002,-0.015384518408799775,0.08450902777087853,0.08450510923253947,0.08451362143655809,-0.009355975275295766,-0.012180934454233133,0.1565511474371538,0.013287245040710348,0.027210012258289895,-0.001368732560375032,0.0073364647029207425,-0.009539768503662999,0.08110729843656406,0.07572084017973686,-0.012449113000244766
Id_Propriedade,0.298588415515607,0.2683913227712098,-0.050340646821768566,-0.04256222844736942,-0.04037275266283917,,0.9192637237403969,0.912875667261565,1.0,0.009755332317837933,-0.012711583115003876,0.005341622632830822,-0.012711583115003876,0.013927060563677214,0.016749275615302053,-0.006167655061093701,-0.08548671980397576,-0.08014932650039053,-0.19215701847753316,-0.09953399336464303,-0.019998172938923635,-0.00783079943313565,-0.007832792185305255,-0.00783500519626704,-0.04281239463282994,-0.044965724546925004,-0.03719208604343124,0.02577107028855597,0.001716559466956729,-0.0008301264437529948,0.061572498908108585,0.03609979836039292,0.025959785913064342,0.03725066209253555,0.03774182113134854,0.024817302703418413,0.036746088614972694,0.29195518919212554,0.28321428031512497,0.276842249159808,0.02885663177612587,-0.15834133472055528,-0.14584043400713342,-0.16587455952608307,-0.12661225294838682,-0.057432044668736575,-0.013396055930347048,-0.04360949753746883,0.2412602158475432,0.23753495151483411,0.2431088750391677,0.24587750279324858,-0.010208569029437755,-0.010847260797283946,-0.010239618922469123,-0.010436776180642583,0.09520020642894082,-0.021366361936588512,-0.011246789739631476,0.31639775052444985,0.31638974530286695,0.31634653881167407,0.06475800083644101,0.06258030441423575,0.17474052697324496,0.009626594629111977,0.03872744285749118,-0.005569985277970932,0.007190306755551621,-0.0011109319652718487,0.09243759920295463,0.08513276252913081,0.06353234015743713
Tamanho_Propriedade,0.023693407053736466,0.024832570911134284,0.012096848713632398,-0.022052023182826647,-0.020590715971201504,,-0.045007218443250535,-0.009911275804991248,0.009755332317837933,1.0,0.5574128651576512,0.7481809820922526,0.5574128651576512,-0.0025160744835180087,-0.0036396377851266207,-0.011340337172317031,-0.03853676629598282,-0.02071621567674724,-0.04420957099771023,0.04691023122416396,0.04937210308429612,0.0006200930495392866,0.0006207937318191238,0.00061977061736049,0.06942332220370798,0.03206754950724362,0.03400572960929452,0.007140109624970324,0.021090064091603525,-0.005814693910920268,-0.018720563552156073,0.020592500587732508,0.006343742214011361,0.07082594182481411,0.06437177576809566,0.05404379091447465,0.06788023599711554,0.015752361166447546,0.006277676245886231,0.009539575284394076,-0.06202242712887016,0.044959272007999734,0.07106959701556938,0.03467814954771844,0.02873211113936526,-0.016871140754386463,-0.004524918462954405,-0.014181656790818621,0.012930375165981245,0.00618311642143482,0.006149076217617387,0.008785416857180438,-0.0052827814649397615,-0.005516767771188383,-0.006090737215680326,-0.005627644966643617,-0.011264895688413582,-0.01067229760929185,0.008476004437739642,0.014225569932999381,0.014222075117758196,0.014199503702259848,0.06688472692835964,0.06795898140407416,-0.01757939512322226,-0.011087823029055546,-0.017931265025724594,-0.014151500304307476,-0.013359832382673542,0.0004218156911779047,-0.02062080523310988,-0.02192190878113001,0.06856106637555674
