,count,mean,std,min,25%,50%,75%,max,missing
Inscricao,5621.0,62457.20156555773,15501.881055705337,30015.0,54085.0,65080.0,74972.0,83066.0,0
Safra,5621.0,2021.4492083259206,1.6620501947922506,2019.0,2020.0,2021.0,2023.0,2024.0,0
Nacional,5621.0,39.122753958370396,118.10257416699216,0.0,0.0,0.0,0.0,631.0,0
Regional,5621.0,8.987012987012987,31.762889478658284,0.0,0.0,0.0,0.0,221.0,0
Estadual,5621.0,3.9251022949653085,14.988189110868722,0.0,0.0,0.0,0.0,133.0,0
Municipal,5620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Id_Produtor,5621.0,23997.5774773172,21385.01407883263,0.0,6745.0,20983.0,28973.0,72387.0,0
Id_Consultor,5621.0,24391.178082191782,21150.437161878377,0.0,6701.0,21820.0,28868.0,72379.0,0
Id_Propriedade,5621.0,25651.048567870486,30426.151543867927,0.0,7390.0,14659.0,20805.0,95063.0,0
Tamanho_Propriedade,5621.0,2822.5024185732073,7047.168594940713,1.0,273.0,829.0,2362.0,256000.0,0
Total_Area_Cultivada_Soja_Propriedade,5621.0,1334.0995561288028,3305.6839375912778,0.0,80.0,320.0,1200.0,110000.0,0
Area_Agricultavel_Propriedade,5621.0,1874.2227980430532,4006.676392838898,1.0,150.0,500.0,1640.0,60706.0,0
Area_Cultivada_Soja_Propriedade,5621.0,1334.0995561288028,3305.6839375912778,0.0,80.0,320.0,1200.0,110000.0,0
Latitude,5621.0,-21590180.41809592,229223077.64530107,-4737611111.0,12.30855,18.75232506,24.02333,2409305556.0,0
Longitude,5621.0,-59670136.70896641,554682241.0554818,-5995916667.0,46.041632,49.101776,52.42208,9999999.99999999,0
Altitude,5621.0,665.0267817114393,1125.4529404379562,0.0,471.0,684.0,850.0,81575.0,0
Produtividade_Media_Retrasada_kg_ha,5621.0,2326.213100404199,2276.288881543258,0.0,0.0,3300.0,4320.0,16000.0,0
Produtividade_Media_Passada_kg_ha,5621.0,2511.1082279370216,2271.8353386073477,0.0,0.0,3600.0,4500.0,16080.0,0
Produtividade_Media_Atual_kg_ha,5621.0,2353.835171606476,2571.485980289579,0.0,0.0,2700.0,4500.0,51720.0,0
Populacao_Plantas_Calculada_ha,5621.0,11695812.676679108,76800101.72625646,0.0,180666.0,229333.333,273200.0,3511111111.0,0
